stt,link,thoigian,giaphong,dientich,vido,kinhdo,drmd,diachi,chitiet OK
4,https://phongtro123.com/tinh-thanh/ha-noi/phong-tro-dep-chinh-chu-full-do.html,Ngày đăng8 giờ trước,Giá cho thuê2.8 triệu/tháng,Diện tích18m2,"Quận Nam Từ Liêm, Hà Nội",21.0393506,2.5,105.766638,"Chính chủ cho thuê phòng trọ đẹp full đồ Mễ TrìĐịa chỉ: (ô tô đỗ cửa) Số 10 Ngõ 72 Miếu Đầm, Nam Từ Liêm, Hà Nội ( Sau trung tâm Hội nghị Quốc Gia cách BigC thăng long 800m, sau khách sạn matriot)Phòng đẹp đủ đồ* Giá 2.800.000đ/ tháng;* Còn phòng* Nội thất:- Nóng lạnh, điều hòa, giường, tủ, máy giặt chung 2 máy.. ...- Kệ bếp giá để bát ( Riêng biệt từng phòng)- Vệ sinh khép kín có gác xép- Ban công thoáng mát, phơi đồ* Mô tả chung- Chính chủ miễn môi giới- Điện 3,5k/ số- Nước 35k/mét khối.- Hàng tuần có người qua dọn vệ sinh chung cả nhà thường xuyên.- để xe miễn phí. camera an ninh hành lang.- Không ở chung chủ. Giờ giấc đi lại thoải mái, tiếp bạn bè vô tư miễn là lịch sự - Hợp đồng lâu dài không tăng giá, chu kỳ đóng tiền nhà 1 tháng 1 lần, đặt cọc 1 tháng tiền nhà.- đi nửa giây ra đường phố Miếu ĐầmBạn quan tâm vui lòng liên hệ chủ nhà Hoàng Việt: 0977.10.17.15"
2,https://phongtro123.com/cho-thue-ch-studio-full-noi-that-cuc-dep-tai-71-71-tan-ap-phuc-xa-ba-dinh-hn-gia-tu-4-5tr-th-pr586120.html,Ngày đăng1 giờ trước,Giá cho thuê4.5 triệu/tháng,Diện tích25m2,"71/71 Đường Tân Ấp, Phường Phúc Xá, Quận Ba Đình, Hà Nội",21.0468371,3.7,105.8469268,"Số 71/71 Tân Ấp và số 19/54 Nghĩa Dũng Phúc Xá, Ba Đình ( gần Yên Phụ, Hồ Trúc Bạch)+ Thiết kế 1 ngủ, 1wc, 1 bếp (có thêm Studio)+ Nhà thang máy, đầy đủ nội thất. chỉ cần xách vali vào là ở thôi+ ngay khu dân cư an ninh, yên tĩnh, dân trí cao..+ vị trí đắc địa ngay trung tâm hành chính Phúc Xá - Ba Đình HN.... Ngay trục đường chính rất thuận tiện giao thông,.....+ Gần chợ, trường học, siêu thị, bệnh viện, công viên, cửa hàng tiện lợi, giao thông công cộng, ngân hàng, ATM, quán xá,...+ Giá 4.5tr - 5tr - 7tr/tháng tùy phòng thoải mái lựa chọn theo nhu cầuLiên hệ chính chủ : 0988658955 ( zalo); cho thuê trực tiếp, ko mất phí môi giới"
9,https://phongtro123.com/cho-1-nu-di-lam-thue-phong-ngo-252-tay-son-hn-pr586023.html,Ngày đăng1 giờ trước,Giá cho thuê2 triệu/tháng,Diện tích14m2,"Tây Sơn, Phường Trung Liệt, Quận Đống Đa, Hà Nội",21.0089298,3.4,105.8241052,"cho 1 nữ đi làm thuê phòng, ngõ 252 Tây Sơn - HN.ngách 15 ngõ 252, phòng tầng 3 nhà 5 tầng.có chỗ để xe, nấu ăn, internet..."
1,https://phongtro123.com/tinh-thanh/ha-noi/cho-thue-phong-tro-moi-xay-100-co-thang-may-gio-giac-tu-do.html,Ngày đăng48 phút trước,Giá cho thuê3.2 triệu/tháng,Diện tích25m2,"21 ngõ 1, đại linh Đường Đại Linh, Phường Trung Văn, Quận Nam Từ Liêm, Hà Nội",20.9964519,4.0,105.770929,"Chính chủ cho thuê chung cư mini mới xây 100%, nhà xây 6 tầng có thang máy. Ngôi nhà được thiết kế hiện đại có khu nấu ăn riêng biệt, phòng có cửa sổ, ban công phơi đồ riêng, giếng trời rất thoáng mát.+ Vị trí: Số 21 ngõ 1 đường Đại Linh, Trung Văn, Nam Từ Liêm, Hà Nội. Ô tô đỗ cửa, Nhà cách đường Lê Văn Lương chỉ chỉ 200m, cách đường Đại Lộ Thăng Long 400m, đi sang KeangNam chỉ 10 phút, đi sang khu đô thị trung Hòa 10 phút,. Xung quanh tòa nhà có rất nhiều quán ăn, quán cafe, và nhiều tiện ích nữa...+ Bố trí ngôi ngôi nhà:- Tầng 1: Có 3 kiot cho thuê. Sân để xe rộng rãi...- Tầng 2: Thiết kế 3 phòng khép kín.- Tầng 3 đến tầng 5: Mỗi tầng thiết kế 4 phòng ở khép kín.- Tầng 6: Có 01 phòng ở và sân phơi.+ Nội thất: Điều hòa, Giường, tủ quần áo, bình nóng lạnh, bàn bếp, thiết bị vệ sinh...+ Tiện ích:- Có chỗ để xe ở tầng 1 rộng rãi...- An ninh tuyệt đối, có camera giám sát 24/24, khóa cửa vân tay an toàn chỉ người trong tòa nhà mới ra vào được.- Giờ giấc đi lại tự do thoải mái (không chung chủ).+ Giá cho thuê chỉ: 3,2tr - 3.4tr - 3,6 triệu/tháng.- Liên hệ: 0985.466.872"
3,https://phongtro123.com/cc-cho-thue-phong-35m2-kieu-ccmn-1n1k-tai-me-tri-nam-tu-liem-canh-truong-cap-1-me-tri-pr583774.html,Ngày đăng7 giờ trước,Giá cho thuê5 triệu/tháng,Diện tích35m2,"Đường Mễ Trì Thượng, Phường Mễ Trì, Quận Nam Từ Liêm, Hà Nội",21.0055267,2.3,105.7791327,"Chính chủ cho phòng kiểu CCMN tại số 12, ngõ 89 Mễ Trì Thượng, Mễ Trì, Nam Từ Liêm (cuối ngõ 4 Đồng Me đi vào khoảng 30m) trong tòa nhà 6 tầng thang máy, diện tích 35m2, 1 ngủ 1 khách, bếp ngăn riêng biệt với phòng không lo ám mùi. - Vị trí: cách mầm non Mễ Trì Hạ 50m, cách cấp 1&2 Mễ trì 50m, cách chợ Mễ Trì Hạ 100m, cách đường Mễ Trì 100m, cách The Garden 200m, cách Keangnam 500m... - TIỆN ÍCH:Nhà đã có đủ đồ như: điều hòa, nóng lạnh, tủ lạnh, máy giặt, giường, tủ, táp, bàn phấn, rèm, bàn ghế, tủ bếp, bếp từ, wifi tốc độ cao...+ Khu bếp ngăn tách riêng phòng ngủ+ Có cửa sổ thoáng mát + Để xe miễn phí+ Giờ giấc thoải mái+ Khóa vân tay, camera, wifi+ Thang máy+ Ô tô 16 chỗ vào sát nhà+ Bãi gửi ôtô cách nhà 50m - Diện tích: 35m2 - Giá: 5tr/tháng(Phòng như hình) - LHCC: 0969139826(Nhà mới xây xong vào ở được ngay, khách chỉ việc xách vali tới ở)"
7,https://phongtro123.com/cc-cho-thue-phong-full-do-khep-kin-o-420-khuong-dinh-nga-tu-so-pr304843.html,Ngày đăng22 giờ trước,Giá cho thuê3.5 triệu/tháng,Diện tích25m2,"420 Đường Khương Đình, Phường Khương Đình, Quận Thanh Xuân, Hà Nội",20.9875318,3.2,105.8129425,"Chính chủ còn duy nhất 1 phòng full đồ, khép kín ở 420 #KhươngĐình, #ngãtưsở Nội thất: giường, tủ, điều hoà, nóng lạnh, tủ lạnh, bàn bếp, máy giặt chung- Hàng tuần có người dọn vệ sinh chung- Không chung chủ, giờ thoải mái- Phòng khép kín nhà 4,5 tầng- Điện 3,5k, Nước 80k/ng- Cọc 1 đóng 1️Lh: 0368.837.862"
0,https://phongtro123.com/cho-thue-phong-tro-25m2-ngo-38-nguyen-van-huyen-cau-giay-pr305462.html,Ngày đăng48 phút trước,Giá cho thuê3 triệu/tháng,Diện tích25m2,"38/6 Đường Nguyễn Văn Huyên, Phường Quan Hoa, Quận Cầu Giấy, Hà Nội",21.0361843,3.9,105.797517,"Địa chỉ: số 6, ngõ 38 đường Nguyễn Văn Huyên - Cầu Giấy.+ Nội thất: Điều hòa, Giường, tủ quần áo, kệ bếp, hệ thống nhà vệ sinh đầy đủ...+ Chỗ giữ xe rộng rãi, đảm bảo an toàn.+ Giờ giấc đi lại thoải mái, nhà có lắp khóa vân tay nên chỉ người trong nhà mới đi ra vào được.+ Ưu tiên hộ gia đình, người đi làm, nhóm bạn bè ở 2 3 người.+ Diện tích: 25m2.+ Giá cho thuê: 3tr - 3.2tr/thLiên hệ chủ nhà:Anh HàNhấn để hiện số: 0985466872"
6,https://phongtro123.com/cho-thue-phong-tro-khep-kin-xa-la-phuc-la-ha-dong-pr316314.html,Ngày đăng8 giờ trước,Giá cho thuê2.8 triệu/tháng,Diện tích30m2,"Đường Xa La, Phường Phúc La, Quận Hà Đông, Hà Nội",20.9612688,2.0,105.793428,"Cho Thuê phòng trọ khép kín tại khu Xa La - Phúc La - Hà Đông - Hà Nội. - Phòng Khép kín có đầy đủ bếp, nhà vệ sinh, khu phơi giặt, điều hòa, nóng lạnh. - Có gác xép, tổng diện tích sử dụng từ 25 đến 30 mét vuông. - Nhà mới xây dựng, sạch sẽ thoáng mát, an ninh tốt. Phù với các hộ gia đình nhỏ, người đi làm, các bạn học sinh, sinh viên. - Giá thuê phòng từ 2,5 đến 3 triệu đồng một tháng (Giá ưu đãi cho khách thuê dài hạn và thanh toán tiền cả kỳ 3 đến 6 tháng). Địa chỉ: Số 34 – Ngõ Ngoài – Tổ 10 – Phúc La – Hà Đông - Hà Nội (Gần Viện Quân Y 103).Liên hệ: Mr. HảiĐiện thoại: 098 343 7641."
8,https://phongtro123.com/cho-thue-homestay-kieu-phong-tro-pr309848.html,Ngày đăng10 phút trước,Giá cho thuê3.2 triệu/tháng,Diện tích20m2,"40C Đường Nguyễn Chánh, Phường Trung Hòa, Quận Cầu Giấy, Hà Nội",21.0092023,2.0,105.7948642,"Cho thuê nhà kiểu homestay 1,5tr/1ng/1th đầy đủ điện nước, bếp, vs, nóng lạnh, điều hòa. Nhà đẹp, gần BigC Thăng Long, các trường học.... . Địa chỉ ngách 5/204 Trần Duy Hưng, thông 20 Nguyễn Chánh, thông Trung Kính. Nhà 4 tầng, chỉ ở ghép 4 người/1 phòng lớn, 2 người phòng nhỏ nên rất thoải mái. Có thể thuê riêng phòng. bếp và để xe tầng 1, máy giặt tầng 4. Liên hệ trực tiếp chủ nhà. ( miễn môi giới)"
5,https://phongtro123.com/tinh-thanh/ha-noi/cho-thue-phong-tro-gia-re-canh-ben-xe-my-dinh.html,Ngày đăng8 giờ trước,Giá cho thuê900.000 đồng/tháng,Diện tích15m2,"Quận Nam Từ Liêm, Hà Nội",21.0393506,2.7,105.766638,"Cư Xá Mỹ ĐìnhTổng hợp phòng trọ giá rẻ tại Cư Xá- Phòng không khép kín 900k tầng 5 rộng 10m2- Phòng khép kín 1tr7 tầng 3 rộng 16m- Phòng khép kín 1tr5 tầng 3 rộng 15m2- Phòng khép kín 1tr3 tầng 4 rộng 13m2- Phòng không khép kín 1tr tầng 3 rộng 10m2* Mô tả chung+ Camera an ninh các hành lang+ Giờ giấc thoải mái+ Bảo vệ trực 24/24+ Tạp vụ dọn vệ sinh hàng ngày+ Đóng tiền tháng 1 cọc 1 thángGiá: 800.000 đ / thángĐịa chỉ: Số 1 đường Mỹ Đình( Đối diện cổng bốc vác bến xe mĩ đìnhLiên Hệ anh Việt: 0966663256Đ/c: Số 1 Đường Mỹ Đình, Mỹ Đình, Từ Liêm, Hà Nội"
